"","Instrument","Comp.1","Comp.2","Comp.3","price","dividend","eps","PE.Comp.1","Div.Yield.Comp.1","PE.Comp.2","Div.Yield.Comp.2","PE.Comp.3","Div.Yield.Comp.3"
"70","AV.",-0.131694290433806,0.0647094841969102,-0.108253728198558,528,0.233,0.511,-136.075509489334,-5.8115094074009e-05,66.8622459020912,2.85555110187123e-05,-111.855124244303,-4.77710580876212e-05
"71","BNZL",-0.125277568067037,-0.0685119543715001,0.121363518408049,2442,0.42,1.048,-291.915859942466,-2.15465104783602e-05,-159.643313525957,-1.17833828157371e-05,282.79552667219,2.08733324043327e-05
"72","HSBA",-0.00983452297219352,0.00302300619463299,-0.0132872668779657,664.2,0.41274,0.50176,-13.0183557041832,-6.11126319112188e-06,4.00167553108106,1.87852390360256e-06,-17.5888924193735,-8.25683006806922e-06
"73","HL.",-0.119838332546643,0.0696920794132703,-0.0504454573065604,1355,0.34,0.373,-435.337642361131,-3.00701351039548e-05,253.170958726491,1.74873114394922e-05,-183.253604960829,-1.26579007263694e-05
"74","CPG",-0.100029755534075,-0.0801946387047331,0.171398721928037,1601,0.317,0.61,-262.537112475498,-1.98060165548418e-05,-210.478059944718,-1.58786386442226e-05,449.851399683258,3.39371610563322e-05
"75","LAND",-0.127420502960377,0.13063607582847,0.00104809968527463,1092,0.3628,0.47535,-292.717343500013,-4.23334784560666e-05,300.104333238013,4.3401802482206e-05,2.40775188034059,3.48214803862305e-07
"76","AHT",-0.100506372527015,-0.020933642315772,-0.0622635112859539,1542,0.261,1.04325,-148.555788580548,-1.70117790074908e-05,-30.9414583761518,-3.54324296006257e-06,-92.0300353730562,-1.05387655289455e-05
"77","SDR",-0.146492325014444,0.0723063501627634,-0.0672124242466388,3125,0.93,1.824,-250.980545871786,-4.35961159242985e-05,123.880122948813,2.15183698084384e-05,-115.152865005892,-2.00024174557997e-05
"78","DLG",-0.0961078527712734,0.0598117997145905,0.00764807074609462,350.5,0.246,0.202,-166.76139800164,-6.74537283359008e-05,103.782355445366,4.19791803988281e-05,13.2705385965652,5.36783282036884e-06
"79","BARC",-0.0703640982836397,0.0416505963806533,-0.113704378166144,208.351,0.03,0.13125,-111.698516125673,-1.01315709956237e-05,66.1176640495657,5.9971773181775e-06,-180.498444916527,-1.6372042106754e-05
